Date,Open,High,Low,Close,Volume,Market Cap
12-Oct-17,"4,829.58","5,446.91","4,822.00","5,446.91","2,791,610,112","90,525,666,972"
11-Oct-17,"4,789.25","4,873.73","4,751.63","4,826.48","1,222,279,936","80,205,238,020"
10-Oct-17,"4,776.21","4,922.17","4,765.10","4,781.99","1,597,139,968","79,457,603,224"
9-Oct-17,"4,614.52","4,878.71","4,564.25","4,772.02","1,968,739,968","79,282,158,943"
8-Oct-17,"4,429.67","4,624.14","4,405.64","4,610.48","1,313,869,952","76,589,293,760"
7-Oct-17,"4,369.35","4,443.88","4,321.05","4,426.89","906,928,000","73,529,314,833"
6-Oct-17,"4,324.46","4,413.27","4,320.53","4,370.81","1,069,939,968","72,589,262,957"
5-Oct-17,"4,229.88","4,362.64","4,164.05","4,328.41","1,161,769,984","71,876,277,937"
4-Oct-17,"4,319.37","4,352.31","4,210.42","4,229.36","1,116,770,048","70,225,033,578"
3-Oct-17,"4,408.46","4,432.47","4,258.89","4,317.48","1,288,019,968","71,681,069,637"
2-Oct-17,"4,395.81","4,470.23","4,377.46","4,409.32","1,431,730,048","73,195,646,776"
1-Oct-17,"4,341.05","4,403.74","4,269.81","4,403.74","1,208,210,048","73,094,870,674"
30-Sep-17,"4,166.11","4,358.43","4,160.86","4,338.71","1,207,449,984","72,008,428,789"
29-Sep-17,"4,171.62","4,214.63","4,039.29","4,163.07","1,367,049,984","69,086,146,650"
28-Sep-17,"4,197.13","4,279.31","4,109.70","4,174.73","1,712,320,000","69,270,823,146"
27-Sep-17,"3,892.94","4,210.05","3,884.82","4,200.67","1,686,880,000","69,691,950,752"
26-Sep-17,"3,928.41","3,969.89","3,869.90","3,892.35","1,043,740,032","64,569,365,079"
25-Sep-17,"3,681.58","3,950.25","3,681.58","3,926.07","1,374,210,048","65,122,213,849"
24-Sep-17,"3,796.15","3,796.15","3,666.90","3,682.84","768,014,976","61,081,971,156"
23-Sep-17,"3,629.92","3,819.21","3,594.58","3,792.40","928,113,984","62,892,069,389"
22-Sep-17,"3,628.02","3,758.27","3,553.53","3,630.70","1,194,829,952","60,203,040,223"
21-Sep-17,"3,901.47","3,916.42","3,613.63","3,631.04","1,411,480,064","60,202,370,872"
20-Sep-17,"3,916.36","4,031.39","3,857.73","3,905.95","1,213,830,016","64,751,811,835"
19-Sep-17,"4,073.79","4,094.07","3,868.87","3,924.97","1,563,980,032","65,061,185,838"
18-Sep-17,"3,591.09","4,079.23","3,591.09","4,065.20","1,943,209,984","67,377,945,990"
17-Sep-17,"3,606.28","3,664.81","3,445.64","3,582.88","1,239,149,952","59,377,995,376"
16-Sep-17,"3,637.75","3,808.84","3,487.79","3,625.04","1,818,400,000","60,068,678,195"
15-Sep-17,"3,166.30","3,733.45","2,946.62","3,637.52","4,148,069,888","60,267,886,368"
14-Sep-17,"3,875.37","3,920.60","3,153.86","3,154.95","2,716,310,016","52,265,453,816"
13-Sep-17,"4,131.98","4,131.98","3,789.92","3,882.59","2,219,409,920","64,311,123,695"
12-Sep-17,"4,168.88","4,344.65","4,085.22","4,130.81","1,864,530,048","68,412,822,896"
11-Sep-17,"4,122.47","4,261.67","4,099.40","4,161.27","1,557,330,048","68,907,352,119"
10-Sep-17,"4,229.34","4,245.44","3,951.04","4,122.94","1,679,090,048","68,263,826,801"
9-Sep-17,"4,229.81","4,308.82","4,114.11","4,226.06","1,386,230,016","69,963,847,482"
8-Sep-17,"4,605.16","4,661.00","4,075.18","4,228.75","2,700,890,112","69,999,555,938"
7-Sep-17,"4,589.14","4,655.04","4,491.33","4,599.88","1,844,620,032","76,132,843,874"
6-Sep-17,"4,376.59","4,617.25","4,376.59","4,597.12","2,172,100,096","76,077,049,312"
5-Sep-17,"4,228.29","4,427.84","3,998.11","4,376.53","2,697,969,920","72,417,728,536"
4-Sep-17,"4,591.63","4,591.63","4,108.40","4,236.31","2,987,330,048","70,087,101,256"
3-Sep-17,"4,585.27","4,714.08","4,417.59","4,582.96","1,933,190,016","75,812,181,334"
2-Sep-17,"4,901.42","4,975.04","4,469.24","4,578.77","2,722,139,904","75,734,114,962"
